User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
HI,Hello,2026-02-10 22:44:07
HI,Hey,2026-02-10 22:44:28
 How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2026-02-10 22:45:50
How's the weather today,You can check the weather on a weather app or website.,2026-02-10 22:46:30
HI,Nothing much,2026-02-10 23:18:43
Tell me about sports,"While I don't have personal preferences, sports can be exciting! Keep an eye on sports news websites for the latest updates and scores.",2026-02-10 23:45:41
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-02-10 23:46:27
Hi!!!!,Hello,2026-02-11 23:45:21
Hi!!!! are u there,"I'm fine, thank you",2026-02-11 23:45:37
Hi!!!! are u there. Do we have an appointment today,Hi there,2026-02-11 23:46:10
Do we have apppointment today,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2026-02-11 23:46:34
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2026-02-11 23:47:29
How do I create a budget,"A good budgeting strategy is to use the 50/30/20 rule. This means allocating 50% of your income towards essential expenses, 30% towards discretionary expenses, and 20% towards savings and debt repayment.",2026-02-11 23:47:37
"Hi, I'm from London",Nothing much,2026-02-11 23:57:42
hi,Hey,2026-02-11 23:58:25
hi are u there,Hey,2026-02-11 23:58:47
Hi,"I'm fine, thank you",2026-02-12 00:03:10
Hi,Nothing much,2026-02-12 00:03:59
Hi,Hi there,2026-02-12 00:04:15
Hi,"I'm fine, thank you",2026-02-12 00:11:27
Hi,Nothing much,2026-02-12 00:11:30
Hi,Welcome back! How else can I help you today?,2026-02-12 00:11:32
Hi,Welcome back! How else can I help you today?,2026-02-12 00:11:34
Hi,Welcome back! How else can I help you today?,2026-02-12 00:11:36
Hi,Welcome back! How else can I help you today?,2026-02-12 00:11:39
Hi,Welcome back! How else can I help you today?,2026-02-12 00:11:40
Hi,Welcome back! How else can I help you today?,2026-02-12 00:11:43
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-02-12 00:12:03
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-02-12 00:12:05
Tell me about sports,"While I don't have personal preferences, sports can be exciting! Keep an eye on sports news websites for the latest updates and scores.",2026-02-12 00:12:07
Tell me about sports,"While I don't have personal preferences, sports can be exciting! Keep an eye on sports news websites for the latest updates and scores.",2026-02-12 00:12:09
Tell me about sports,"While I don't have personal preferences, sports can be exciting! Keep an eye on sports news websites for the latest updates and scores.",2026-02-12 00:12:11
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-02-12 00:12:14
Tell me about sports,"While I don't have personal preferences, sports can be exciting! Keep an eye on sports news websites for the latest updates and scores.",2026-02-12 00:12:16
Tell me about sports,"While I don't have personal preferences, sports can be exciting! Keep an eye on sports news websites for the latest updates and scores.",2026-02-12 00:12:18
hi,Hey,2026-02-12 00:14:46
hi,"I'm fine, thank you",2026-02-12 00:14:49
hi,Welcome back! How else can I help you today?,2026-02-12 00:14:51
hi,Welcome back! How else can I help you today?,2026-02-12 00:14:54
hi,Welcome back! How else can I help you today?,2026-02-12 00:14:56
Hi,Nothing much,2026-02-12 00:19:23
Tell me about sports,"While I don't have personal preferences, sports can be exciting! Keep an eye on sports news websites for the latest updates and scores.",2026-02-12 00:19:47
What is your name,My name is Chatbot.,2026-02-12 00:20:00
Do you want to ask my name,You can call me Chatbot.,2026-02-12 00:20:21
goodbye,Take care,2026-02-12 00:20:52
bye,See you later,2026-02-12 00:21:15
Hi,Hey,2026-02-13 04:32:13
Tell me about sports,"While I don't have personal preferences, sports can be exciting! Keep an eye on sports news websites for the latest updates and scores.",2026-02-13 04:32:35
favorite color,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2026-02-13 04:33:15
Hi,Hi there,2026-02-13 04:41:08
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-02-13 04:41:21
Good Bye,Take care,2026-02-13 04:41:38
good bye,Take care,2026-02-13 04:41:54
bye,See you later,2026-02-13 04:42:06
Hi,Hello,2026-02-13 04:45:17
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-02-13 04:45:31
bye,Goodbye,2026-02-13 04:45:46
Hi,Hello,2026-02-13 04:51:43
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-02-13 04:52:01
bye,See you later,2026-02-13 04:52:10
hi,Hello,2026-02-14 22:11:38
Tell me about sports,"While I don't have personal preferences, sports can be exciting! Keep an eye on sports news websites for the latest updates and scores.",2026-02-14 22:11:48
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2026-02-14 22:11:59
bye,See you later,2026-02-14 22:12:07
hi,Hi there! Would you like to file a new claim or check an existing one?,2026-02-14 22:25:40
Tell me about sports,Let’s get started with your claim. Please provide your policy number.,2026-02-15 23:11:55
bye,Thank you for contacting us. Have a great day!,2026-02-15 23:11:59
1234,"Sure, I can help you file a claim. May I have your policy number?",2026-02-15 23:12:12
123456,Let’s get started with your claim. Please provide your policy number.,2026-02-15 23:12:19
124578,Let’s get started with your claim. Please provide your policy number.,2026-02-15 23:12:28
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-02-15 23:14:26
bye,See you later,2026-02-15 23:14:33
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-02-15 23:14:44
Do we have apppointment today,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2026-02-15 23:14:56
Hi,"I dont have requiered information to answer that, please try asking another question.",2026-02-15 23:20:20
Do we have apppointment today,"I dont have requiered information to answer that, please try asking another question.",2026-02-15 23:20:51
Tell me about sports,"I dont have requiered information to answer that, please try asking another question.",2026-02-15 23:20:59
Hi',"I dont have requiered information to answer that, please try asking another question.",2026-02-15 23:23:09
Hi,"I dont have requiered information to answer that, please try asking another question.",2026-02-15 23:23:19
bye,"I dont have requiered information to answer that, please try asking another question.",2026-02-15 23:24:06
hi,"I dont have requiered information to answer that, please try asking another question.",2026-02-15 23:27:01
hi are u there,"I dont have requiered information to answer that, please try asking another question.",2026-02-15 23:27:14
Tell me about sports,"I dont have requiered information to answer that, please try asking another question.",2026-02-15 23:27:41
Tell me about sports,"While I don't have personal preferences, sports can be exciting! Keep an eye on sports news websites for the latest updates and scores.",2026-02-15 23:30:09
Do we have apppointment today,"I dont have required information to answer that, please try asking another question.",2026-02-15 23:30:20
hi are u there,Welcome back! How else can I help you today?,2026-02-15 23:30:30
What is rebate,"I dont have required information to answer that, please try asking another question.",2026-02-15 23:30:48
bye,See you later,2026-02-15 23:30:55
hi,Nothing much,2026-02-15 23:58:05
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-02-15 23:58:18
Do we have apppointment today,"I dont have required information to answer that, please try asking another question.",2026-02-15 23:58:29
bye,Take care,2026-02-15 23:58:39
Hi,Hey,2026-02-16 03:17:53
bye,See you later,2026-02-16 03:18:03
hi,Nothing much,2026-03-12 02:30:03
hello,Hi there,2026-03-12 02:30:12
hi,"I'm fine, thank you",2026-03-12 02:37:49
hello,Nothing much,2026-03-12 04:18:36
hi,"I'm fine, thank you",2026-03-12 06:01:56
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-03-12 06:02:23
Hi,Hey,2026-03-12 06:25:04
Tell me about sports,Sports are a great way to stay active and entertained. There's a wide range of sports to explore and enjoy!,2026-03-13 04:48:24
